Iter,Acc,Std
0,0.49632002532482145,0.07869268619176521
10,0.6121600276231766,0.10601421974867008
20,0.6330400279164314,0.08838935971711392
Iter,Acc,Std
Iter,Acc,Std
0,0.5665600281953812,0.07291314809432886
Iter,Acc,Std
0,0.5672800275683403,0.0758701663603287
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
0,0.7918400377035141,0.053426350517017995
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
0,0.5265600246191025,0.0664951613258687
10,0.7164000356197358,0.11751221820483988
20,0.7298400342464447,0.09209286545936597
30,0.6788000306487083,0.10178173819448777
40,0.6962400305271149,0.08964610459213719
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
Iter,Acc,Std
